price,total_volume,buy_volume,sell_volume,buy_value,sell_value,delta,imbalance_ratio,buy_pressure
90975.20000000,0.15500000,0.06500000,0.09000000,5913.39450000,8187.77700000,-0.02500000,-0.16129032,0.41935484
90975.30000000,0.02800000,0.00600000,0.02200000,545.85240000,2001.45880000,-0.01600000,-0.57142855,0.21428571
90975.40000000,1.56400000,1.54000000,0.02400000,140102.27000000,2183.41200000,1.51600000,0.96930946,0.98465473
90975.60000000,6.59500000,1.01700000,5.57800000,92522.26520000,507462.23240000,-4.56100000,-0.69158453,0.15420773
90975.70000000,1.31500000,0.91500000,0.40000000,83242.85700000,36390.32000000,0.51500000,0.39163498,0.69581749
90975.80000000,0.07800000,0.06900000,0.00900000,6277.33710000,818.78310000,0.06000000,0.76923076,0.88461537
90975.90000000,0.21700000,0.13700000,0.08000000,12463.71200000,7278.08000000,0.05700000,0.26267281,0.63133640
90976.10000000,0.22300000,0.19600000,0.02700000,17831.31660000,2456.35550000,0.16900000,0.75784753,0.87892376
90976.20000000,0.17500000,0.02100000,0.15400000,1910.50230000,14010.35020000,-0.13300000,-0.76000000,0.12000000
90976.30000000,0.64300000,0.61800000,0.02500000,56223.41520000,2274.41000000,0.59300000,0.92223950,0.96111975
90976.40000000,0.01200000,0.00300000,0.00900000,272.92950000,818.78850000,-0.00600000,-0.49999996,0.24999998
90976.60000000,4.57600000,4.30700000,0.26900000,391836.64540000,24472.70700000,4.03800000,0.88243007,0.94121503
90976.70000000,0.02200000,0.01300000,0.00900000,1182.69840000,818.79120000,0.00400000,0.18181817,0.59090906
90976.80000000,2.78600000,0.11600000,2.67000000,10553.32040000,242908.32300000,-2.55400000,-0.91672649,0.04163676
90976.90000000,0.88000000,0.71200000,0.16800000,64775.62400000,15284.13600000,0.54400000,0.61818182,0.80909091
90977.10000000,1.25300000,0.11600000,1.13700000,10553.34550000,103440.98820000,-1.02100000,-0.81484437,0.09257781
90977.20000000,1.86000000,1.53700000,0.32300000,139832.11010000,29385.66790000,1.21400000,0.65268817,0.82634409
90977.30000000,0.68200000,0.34100000,0.34100000,31023.29340000,31023.29340000,0.00000000,0.00000000,0.50000000
90977.40000000,0.25200000,0.02100000,0.23100000,1910.52750000,21015.80250000,-0.21000000,-0.83333333,0.08333333
90977.60000000,0.65600000,0.61500000,0.04100000,55951.28480000,3730.08280000,0.57400000,0.87500000,0.93750000
90977.70000000,0.59100000,0.00900000,0.58200000,818.80020000,52949.07960000,-0.57300000,-0.96954315,0.01522843
90977.80000000,0.25900000,0.03200000,0.22700000,2911.29280000,20651.98330000,-0.19500000,-0.75289575,0.12355212
90977.90000000,0.84200000,0.80700000,0.03500000,73419.24600000,3184.23000000,0.77200000,0.91686461,0.95843230
90978.10000000,0.13200000,0.10800000,0.02400000,9825.64470000,2183.47570000,0.08400000,0.63636363,0.81818181
90978.20000000,0.11700000,0.11000000,0.00700000,10007.61300000,636.84810000,0.10300000,0.88034187,0.94017093
90978.30000000,0.01700000,0.00000000,0.01700000,0.00000000,1546.63280000,-0.01700000,-0.99999994,0.00000000
90978.40000000,0.23000000,0.00900000,0.22100000,818.80650000,20106.24850000,-0.21200000,-0.92173913,0.03913043
90978.60000000,0.17400000,0.05500000,0.11900000,5003.82810000,10826.46380000,-0.06400000,-0.36781609,0.31609195
90978.70000000,0.09500000,0.08900000,0.00600000,8097.11320000,545.87280000,0.08300000,0.87368420,0.93684210
